estimator,regime_n,regime_cov,seed,coverage,ci_width
calibrated-dr-cpo,500,0.05,1,75.0,0.09434929385138585
calibrated-dr-cpo,500,0.05,2,75.0,0.11815997674983475
calibrated-dr-cpo,500,0.05,3,100.0,0.1982044722482757
calibrated-dr-cpo,500,0.05,4,75.0,0.12023535372005867
calibrated-dr-cpo,500,0.05,5,75.0,0.1252742341987162
calibrated-dr-cpo,500,0.05,6,75.0,0.1415867824533653
calibrated-dr-cpo,500,0.05,7,75.0,0.19074138344159824
calibrated-dr-cpo,500,0.05,8,75.0,0.1392224021672399
calibrated-dr-cpo,500,0.05,9,75.0,0.16188149438331875
calibrated-dr-cpo,500,0.05,10,75.0,0.15255559226523985
calibrated-dr-cpo,500,0.05,11,100.0,0.18216382250495777
calibrated-dr-cpo,500,0.05,12,75.0,0.13292706327372636
calibrated-dr-cpo,500,0.05,13,100.0,0.13345011048140099
calibrated-dr-cpo,500,0.05,14,75.0,0.1524590704219032
calibrated-dr-cpo,500,0.05,15,75.0,0.10986860427756862
calibrated-dr-cpo,500,0.05,16,75.0,0.1010152089672865
calibrated-dr-cpo,500,0.05,17,75.0,0.12028539057634946
calibrated-dr-cpo,500,0.05,18,100.0,0.16343290399750304
calibrated-dr-cpo,500,0.05,19,75.0,0.10530970928876021
calibrated-dr-cpo,500,0.05,20,75.0,0.17992032482491366
calibrated-dr-cpo,500,0.05,21,75.0,0.12842729077039647
calibrated-dr-cpo,500,0.05,22,100.0,0.2992910086530346
calibrated-dr-cpo,500,0.05,23,75.0,0.11967736095188923
calibrated-dr-cpo,500,0.05,24,75.0,0.15915333088538275
calibrated-dr-cpo,500,0.05,25,100.0,0.15247878220383532
calibrated-dr-cpo,500,0.05,26,75.0,0.18555474039124636
calibrated-dr-cpo,500,0.05,27,75.0,0.12114444139178432
calibrated-dr-cpo,500,0.05,28,75.0,0.20210656719881664
calibrated-dr-cpo,500,0.05,29,75.0,0.1316812359423941
calibrated-dr-cpo,500,0.05,30,75.0,0.1005698549215887
calibrated-dr-cpo,500,0.05,31,75.0,0.12842965207136137
calibrated-dr-cpo,500,0.05,32,75.0,0.15282839004583026
calibrated-dr-cpo,500,0.05,33,75.0,0.1352198327544106
calibrated-dr-cpo,500,0.05,34,75.0,0.16825342946872324
calibrated-dr-cpo,500,0.05,35,75.0,0.11747535841024527
calibrated-dr-cpo,500,0.05,36,100.0,0.14187757308485838
calibrated-dr-cpo,500,0.05,37,75.0,0.15721988473249912
calibrated-dr-cpo,500,0.05,38,75.0,0.11922576205659902
calibrated-dr-cpo,500,0.05,39,75.0,0.1691082216189359
calibrated-dr-cpo,500,0.05,40,75.0,0.13735443801077646
